"","author","match_title_freq","match_lang_freq","dnb_title_freq","dnb_lang_freq","onb_title_freq","onb_lang_freq","standard_res"
"246","Trojanow, Ilija",25,15,51,21,25,15,0.703552404596989
"247","Truschner, Peter",1,1,1,1,1,1,-0.1020441138005
"248","Turrini, Peter",10,7,33,13,13,7,0.0876779751703446
"249","Ungar, Hermann",2,1,25,8,2,1,-0.0684742734799366
"250","Urzidil, Johannes",1,1,8,5,1,1,-0.1020441138005
"251","Vavrik, Elfriede",1,1,1,1,1,1,-0.1020441138005
"252","Vermes, Timur",3,3,56,31,3,3,-0.0349061703661382
"253","Vertlib, Vladimir",4,3,5,3,5,3,-0.0387950838610031
"254","Vogel, Alois",1,1,8,3,1,1,-0.1020441138005
"255","Vögel, Stefan",8,1,10,1,11,1,0.0205532038595919
"256","Wallner, Michael",5,5,23,15,5,5,0.0322256149735822
"257","Walser, Alissa",4,4,14,8,5,5,-0.0387950838610031
"258","Wander, Fred",1,1,5,5,2,2,-0.139499431958003
"259","Wassermann, Jakob",8,3,31,12,10,4,0.0580064041825367
"260","Waterhouse, Peter",1,1,2,2,2,2,-0.139499431958003
"261","Weger, Michael",2,1,2,1,2,1,-0.0684742734799366
"262","Welsh, Renate",1,1,5,5,12,9,-0.514005678046347
"263","Werfel, Franz",26,16,109,25,31,18,0.549924592096064
"264","Widder, Bernhard",2,2,2,2,2,2,-0.0684742734799366
"265","Winder, Ludwig",1,1,5,3,1,1,-0.1020441138005
"266","Winkler, Josef",21,13,39,15,27,15,0.344562925672137
"267","Winkler, Katharina",6,6,8,6,6,6,0.0657896924386218
"268","Wolf, Christa",1,1,157,35,1,1,-0.1020441138005
"269","Wondratschek, Wolf",4,4,8,7,5,5,-0.0387950838610031
"270","Wurmitzer, Mario",1,1,1,1,1,1,-0.1020441138005
"271","Zauner, Friedrich Ch.",2,2,3,3,3,3,-0.10592970289876
"272","Zoderer, Joseph",1,1,4,2,3,1,-0.176953235431382
"273","Zweig, Arnold",2,2,12,5,2,2,-0.0684742734799366
"274","Zweig, Stefan",124,27,355,38,257,34,-1.01553279991322
