"","author","match_title_freq","match_lang_freq","dnb_title_freq","dnb_lang_freq","onb_title_freq","onb_lang_freq","standard_res_2"
"55","Flašar, Milena Michiko",13,13,16,13,15,14,-0.270315002378381
"56","Flöss, Helene",1,1,1,1,1,1,-0.172622575295147
"57","Foresti, Traute",1,1,1,1,1,1,-0.172622575295147
"58","Franzobel",3,3,6,5,5,4,-0.186056106553092
"59","Freitag, Günther",1,1,2,1,1,1,-0.152357055534463
"60","Freund, René",1,1,1,1,2,1,-0.201311931053691
"61","Fried, Erich",4,4,17,9,7,7,-0.0205379576716203
"62","Fritsch, Gerhard",1,1,1,1,1,1,-0.172622575295147
"63","Fritsch, Valerie",5,4,5,4,6,5,-0.235007698133817
"64","Fritz, Marianne",2,2,4,3,2,2,-0.140516882875542
"65","Futscher, Christian",1,1,2,2,1,1,-0.152357055534463
"66","Ganglbauer, Petra",1,1,1,1,1,1,-0.172622575295147
"67","Gauß, KarlMarkus",1,1,NA,NA,4,3,-0.278952014879598
"68","Geiger, Arno",15,12,29,19,33,20,-0.523500478363381
"69","Gelich, Johannes",1,1,3,3,1,1,-0.132091535773779
"70","Gerstl, Elfriede",1,1,1,1,1,1,-0.172622575295147
"71","Glattauer, Daniel",43,20,70,24,58,23,-0.410584493180119
"72","Glattauer, Daniel, ",1,1,NA,NA,1,1,-0.192888095055831
"73","Glauser, Friedrich",8,6,50,11,12,8,0.504666407769828
"74","Glavinic, Thomas",20,13,34,18,22,13,-0.106430261086124
"75","Grän, Christine",1,1,11,5,1,1,0.0300326223116919
"76","Greiner, Margret",1,1,3,3,1,1,-0.132091535773779
"77","Grill, Andrea",1,1,2,2,2,2,-0.181046914994308
"78","Grill, Evelyn",1,1,5,3,1,1,-0.0915604962524116
"79","Grillparzer, Franz",2,2,11,7,2,2,0.00133822954013938
"80","Gruber, Andreas",15,8,25,10,16,9,-0.116646029864742
"81","Gruber, Marianne",3,2,9,6,4,3,-0.0965748628783794
"82","Gruber, Sabine",4,3,6,5,5,4,-0.186056106553092
"83","Gstrein, Norbert",19,10,34,18,20,10,-0.04904654294171
"84","Haas, Wolf",29,10,45,14,30,10,-0.11308467775015
"85","Hackl, Erich",11,5,40,17,11,5,0.330736090907707
"86","Haderlap, Maja",6,6,10,9,7,7,-0.162379616772725
"87","Hadwiger, Viktor",1,1,2,1,1,1,-0.152357055534463
"88","Hamerling, Robert",1,1,2,2,1,1,-0.152357055534463
"89","Handke, Peter",233,35,439,39,293,37,0.35287657674924
"90","Händl, Klaus",1,1,2,2,1,1,-0.152357055534463
"91","Hartlieb, Petra",7,5,9,6,8,5,-0.211330871048117
"92","Härtling, Peter",4,4,34,14,12,8,0.180471751159289
"93","Haslinger, Josef",3,3,11,11,6,6,-0.113427304048283
"94","Hassler, Silke",1,1,1,1,2,1,-0.201311931053691
"95","Hauer, Elisabeth",1,1,5,5,1,1,-0.0915604962524116
"96","Haushofer, Marlen",28,14,60,22,33,16,0.104842201948698
"97","Helfer, Monika",9,7,10,8,14,11,-0.363197786840251
"98","Henisch, Peter",6,5,11,7,10,6,-0.228181684096639
"99","Hermann, Wolfgang",3,2,4,2,3,2,-0.169206655526776
"100","Herzl, Theodor",1,1,4,3,2,2,-0.140516882875542
"101","HerzmanovskyOrlando, Fritz ",1,1,NA,NA,1,1,-0.192888095055831
"102","Hochgatterer, Paulus",8,5,18,11,11,6,-0.115033897169474
"103","Hochhuth, Rolf",1,1,12,5,1,1,0.0502981420723758
"104","Hochwälder, Fritz",1,1,4,3,1,1,-0.111826016013096
"105","Hoffer, Klaus",1,1,2,2,1,1,-0.152357055534463
"106","Hoffmann, E. T. A.",1,1,209,34,2,2,4.01381140929798
"107","Hofmannsthal, Hugo ",12,9,NA,NA,17,12,-0.651892048073189
"108","Hofmannsthal, Hugo von",1,1,48,17,1,1,0.779856853456997
"109","Horváth, Ödön ",12,10,NA,NA,18,11,-0.680586193492739
"110","Hotschnig, Alois",2,2,5,3,3,3,-0.148942103384845
"111","Innerhofer, Franz",3,3,4,3,4,3,-0.197895502879057
"112","Jäger, Gerhard",1,1,1,1,1,1,-0.172622575295147
"113","Jandl, Ernst",4,4,13,9,8,8,-0.130279554847081
"114","Jelinek, Elfriede",116,29,280,38,134,30,1.68876880548085
"115","Jessen, Søren",1,1,1,1,1,1,-0.172622575295147
"116","Jonke, Gert",4,3,13,5,8,5,-0.130279554847081
"117","Jungk, Peter Stephan",1,1,8,4,2,1,-0.0594568186380097
"118","Kafka, Franz",229,39,799,47,331,41,7.28526254650214
"119","Kaiser, Vea",8,5,8,5,8,5,-0.231593700098376
"120","KaiserMühlecker, Reinhard",1,1,NA,NA,1,1,-0.192888095055831
"121","Kaléko, Mascha",1,1,3,3,2,2,-0.160781898934925
"122","Kappacher, Walter",3,3,3,3,8,6,-0.332907845349672
"123","Karlin, Alma M.",3,1,9,1,5,1,-0.125264875673574
"124","Kehlmann, Daniel",110,37,181,43,120,37,0.0612077354293432
"125","Kern, Elfriede",1,1,1,1,1,1,-0.172622575295147
"126","Kim, Anna",6,6,11,9,8,7,-0.170805212947599
