"","IDN","ISBN","year","author","language","title","uniform.title","publisher","country"
"3245","990049120270603392","9782354133122","2016","Janisch, Heinz","fre","Till l'Espiègle","Till Eulenspiegel","[Paris]","XA-FR"
"3246","9958558925103338","9789934546778","2019","Kehlmann, Daniel","lav","Tils","Tyll","[Riga]","XA-LV"
"3247","990038275530603392","9789612413910","2010","Glavinic, Thomas","slv","To sem vendar jaz","<<Das>> bin doch ich","Ljubljana","XA-SI"
"3248","990049650450603392","9781509806614","2016","Seethaler, Robert","eng","The tobacconist","fail","London","XA-GB"
"3249","9958562464003338","9788232802340","2018","Seethaler, Robert","nor","Tobakkshandleren","<<Der>> Trafikant","Oslo","XA-NO"
"3250","990049203290603392","9789186905286","2015","Seethaler, Robert","swe","Tobakshandlaren","<<Der>> Trafikant","Skivarp","XA-SE"
"3251","990050094500603392","9789543001521","2016","Streeruwitz, Marlene","bul","Točki na presičane","Kreuzungen","Sofija","XA-BG"
"3252","9959009786803338","9783608504491","2019","Hvorecký, Michal","ger","Tod auf der Donau","Dunaj v Amerike","Stuttgart","XA-DE"
"3253","990038778110603392","9783608501155","2012","Hvorecký, Michal","ger","Tod auf der Donau","Dunaj v Amerike","Stuttgart","XA-DE-BW"
"3254","990037866390603392","9783442742509","2011","Tallis, Frank","ger","Der Tod und das Mädchen","Death and the maiden","München","XA-DE-BY"
"3255","9958502472503338","9788498388152","2017","Seethaler, Robert","spa","Toda una vida","<<Ein>> ganzes Leben","Barcelona","XA-ES"
"3256","990045177740603392","9781606995570","2013","Lust, Ulli","eng","Today is the last day of the rest of your life","Heute ist der letzte Tag vom Rest deines Lebens","Seattle, Wash.","XD-US"
"3257","990047585390603392","9789632515618","2013","fail","hun","A török és a tehenek","fail","Kisújszállás","XA-HU"
"3258","990037389610603392","9789517966481","2010","Glavinic, Thomas","fin","Toiveet","<<Das>> Leben der Wünsche","Jyväskylä","XA-FI"
"3259","9958548669203338","9788056606322","2018","Brezina, Thomas","slo","Tojamstvo Titanicu","<<Die>> Rückkehr der Titanic","[Bratislava]","XA-SK"
"3260","990045172020603392","9789639991064","2010","Brezina, Thomas","hun","Tom Turbo","<<Die>> Jagd nach dem tollsten Fahrrad der Welt","Pápa","XA-HU"
"3261","9958926115203338","9786197362985","2022","Görg, Bernhard","bul","Top kandidati","Spitzenkandidaten","Sofija","XA-BG"
"3262","990049815450603392","9750807235","2016","Bachmann, Ingeborg","tur","Toplu Şiirler","fail","İstanbul","XB-TR"
"3263","9958503477503338","9788416863297","2017","Seethaler, Robert","cat","Tota una vida","<<Ein>> ganzes Leben","Barcelona","XA-ES"
"3264","990044608480603392","9783453640580","2014","Schwarzenegger, Arnold","ger","Total Recall","Total recall","München","XA-DE"
"3265","990042370480603392","9783455502787","2012","Schwarzenegger, Arnold","ger","Total Recall","Total recall","Hamburg","XA-DE"
"3266","9959033908103338","9788072604968","2021","Brod, Max","cze","Touha","<<Das>> Buch der Liebe","Praha","XA-CZ"
"3267","990042920420603392","9782358730457","2012","Handke, Peter","fre","Toujours la tempête","Immer noch Sturm","[Paris]","XA-FR"
"3268","990050051300603392","9782266269216","2016","Poznanski, Ursula","fre","Tout un poème","Blinde Vögel","Paris","XA-FR"
"3269","9958926120103338","9782080257185","2022","Franzobel","fre","Toute une expédition","<<Die>> Eroberung Amerikas","[Paris]","XA-FR"
"3270","990042374230603392","9788025313749","2012","Brezina, Thomas","cze","Trable s koštětem","fail","Praha","XA-CZ"
