,IDN,ISBN,year,author,language,original language,title,uniform title,publisher,country
1346,990047232380603338,1442487526,2014,"Salten, Felix",eng,ger,<<The>> city jungle,Freunde aus aller Welt,"New York, NY [u.a.]",XD-US
1347,990043046470603338,9780374269357,2013,"Wolf, Christa",eng,ger,"City of Angels, or, The overcoat of Dr. Freud","Stadt der Engel, oder, The overcoat of Dr. Freud","New York, NY",XD-US
1348,9958887343003338,9783492062763,[2022],"Hagen, Layla",ger,eng,City of Hearts – Robert & Skye,One Perfect Touch,München,XA-DE
1349,9958887342603338,9783492063555,[2022],"Hagen, Layla",ger,eng,City of Kisses – Tess & Liam,My One and Only,München,XA-DE
1351,9958887342803338,9783492062756,[2021],"Hagen, Layla",ger,eng,City of love - Heather & Ryker,Just one kiss,München,XA-DE-BY
1352,9958887342903338,9783492062749,[2021],"Hagen, Layla",ger,eng,City of love - Hunter & Josie,You're the one,München,XA-DE-BY
1353,9958887342703338,9783492063494,[2022],"Hagen, Layla",ger,eng,City of Promises - Laney & Cole,One Beautiful Promise,München,XA-DE-BY
1354,9958573664403338,9788437635989,2016,"Bettauer, Hugo",spa,ger,<<La>> ciudad sin judios,<<Die>> Stadt ohne Juden,Madrid,XA-ES
1355,9958585777003338,9788075114815,2019,"Struhar, Stanislav",cze,ger,Cizinci,Fremde Männer,Praha,XA-CZ
1356,9958503975203338,9788024259642,[2018],"Poznanski, Ursula",cze,ger,Cizinec,Fremd,Praha,XA-CZ
1357,990047338630603338,9788072078790,2013,"Struhar, Stanislav",cze,ger,Cizinky,Fremde Frauen,Praha,XA-CZ
1358,9958545363603338,9789548692663,2018,"Seethaler, Robert",bul,ger,Cjal edin život,Ein ganzes Leben,Sofija,XA-BG
1362,9958504373703338,9786053329121,Şubat 2018,"Zweig, Stefan",tur,ger,Clarissa,Clarissa,"Beyoğlu, İstanbul",XB-TR
1363,9958816472803338,9788477275763,febrer de 2017,"Zweig, Stefan",cat,ger,Clarissa,Clarissa,Barcelona,XA-ES
1364,9958815744203338,9788416748389,febrero de 2017,"Zweig, Stefan",spa,ger,Clarissa,Clarissa,Barcelona,XA-ES
1365,9958522572803338,9788861928718,giugno 2015,"Zweig, Stefan",ita,ger,Clarissa,Clarissa,Roma,XA-IT
1366,9958976285203338,9781572412057,[2016],"Zweig, Stefan",eng,ger,Clarissa,fail,"Riverside, CA",XD-US
1367,9958872654503338,9783835350908,[2021],"Jaccottet, Philippe",ger,fre,Clarté Notre-Dame,fail,Göttingen,XA-DE-NI
1368,9959029409603338,9789152744970,2022,"Bernhard, Thomas",swe,ger,Claus Peymann köper sig ett par byxor och går ut med mig och äter,Claus Peymann kauft sich eine Hose und geht mit mir essen,Malmö,XA-SE
1369,9958555051303338,9788394686079,2019,"Bernhard, Thomas",pol,ger,Claus Peymann kupuje sobie spodnie i idzie za mną na obiad,Claus Peymann kauft sich eine Hose und geht mit mir essen,Łódź,XA-PL
1372,9958938005903338,9788412206760,2020,"Mayreder, Rosa",spa,ger,<<El>> club de los superhombres,<<Der>> Klub der Übermenschen,Madrid,XA-ES
1373,990050353690603338,9782012705708,[2015],"Brezina, Thomas",fre,ger,<<Le>> Club de tigres et la Malédiction du pharaon,fail,Paris,XA-FR
1381,9958811571003338,9783944891705,2018,"Kafka, Franz",tur,ger,Çocuklar ve büyükler için Kafka,Kafka für Kinder und Erwachsene,Düsseldorf,XA-DE-NW
1384,9958599478803338,9788497169851,[2016],"Zweig, Stefan",spa,ger,<<La>> colección invisible,<<Die>> unsichtbare Sammlung,Palma España),XA-ES
1385,990047997160603338,9789899796508,2012,"Trojanow, Ilija",por,ger,<<O>> colecionador de mundos,<<Der>> Weltensammler,Vila Nova de Gaia,XA-PT
1388,9958583773603338,9780857427069,2019,"Trakl, Georg",eng,ger,Collected poems,fail,London,XA-GB
1391,9958800373103338,9781782276319,2020,"Zweig, Stefan",eng,ger,<<The>> collected stories of Stefan Zweig,fail,London,XA-GB
1393,990047997170603338,9782752905567,2011,"Trojanow, Ilija",fre,ger,<<Le>> collectionneur de mondes,<<Der>> Weltensammler,Paris,XA-FR
1395,990049197290603338,fail,[2015],"Zweig, Stefan",ita,ger,<<La>> collezione invisibile,<<Die>> unsichtbare Sammlung,[Tesserete],XA-CH
1397,990049793380603338,9781612193397,[July 2014[,"Haas, Wolf",eng,ger,"Come, sweet death","Komm, süßer Tod",Brooklyn,XD-US
1398,9958964599903338,9788862261098,giugno 2019,"Zweig, Stefan",ita,ger,<<Il>> commediante trasformato,<<Der>> verwandelte Komödiant,Pistoia,XA-IT
1399,9958822580203338,9780998267586,[2021],"Mayröcker, Friederike",eng,ger,<<The>> communicating vessels,fail,New York,XD-US
1400,9958884638003338,9782203157330,[2019],"Moser, Erwin",fre,ger,Complètement givré!,fail,Bruxelles,XA-BE
1402,9958553472203338,9780571349951,2019,"Bernhard, Thomas",eng,ger,Concrete,Beton,London,XA-GB
1404,990049151510603338,9788420687650,2015,"Kafka, Franz",spa,ger,<<La>> condena,<<Das>> Urteil,Madrid,XA-ES
1405,990050082430603338,9788446041702,[2015],"Kafka, Franz",spa,ger,<<La>> condena y otros relatos,<<Das>> Urteil,"Tres Cantos, Madrid, España",XA-ES
1406,9958819378303338,9788417346249,octubre de 2018,"Kafka, Franz",spa,ger,"<<""La>> condena""",fail,Barcelona,XA-ES
1408,9958816575003338,9782072900471,2020,"Handke, Peter",fre,ger,Conférence du Nobel,Nobelvorlesung,Paris,XA-FR
1410,9958805475603338,9789896232504,Janeiro de 2018,"Roth, Joseph",por,ger,Confissão de um assassino,"Beichte eines Mörders, erzählt in einer Nacht",Amadora,XA-PT
1411,990049197310603338,9788415689973,2014,"Zweig, Stefan",spa,ger,Confusión de sentimientos,Verwirrung der Gefühle,Barcelona,XA-ES
1419,9958503478403338,9789896232375,setembro de 2017,"Canetti, Elias",por,ger,<<A>> consciência das palavras,<<Das>> Gewissen der Worte,Lisboa,XA-PT
1421,9958800276303338,9782330137236,[2020],"Setz, Clemens J.",fre,ger,<<La>> consolation des choses rondes,<<Der>> Trost runder Dinge,Arles,XA-FR
1422,9958540971903338,9788466144766,juliol de 2018,"Brezina, Thomas",cat,ger,Conspiració a la roca de l'infern,Verschwörung am Höllenstein,Barcelona,XA-ES
1425,990043237370603338,9788496735484,2011,"Glattauer, Daniel",cat,ger,Contra el vent del nord,Gut gegen Nordwind,Barcelona,XA-ES
1426,990039066020603338,9788420406107,2011,"Glattauer, Daniel",spa,ger,Contra el viento del norte,Gut gegen Nordwind,[Madrid],XA-ES
1427,990045971400603338,9788466315128,2012,"Glattauer, Daniel",spa,ger,Contra el viento del norte,Gut gegen Nordwind,Tres Cantos (Madrid),XA-ES
1428,990037867460603338,9789021438399,2010,"Jelinek, Elfriede",dut,ger,<<De>> contracten van de koopman,<<Die>> Kontrakte des Kaufmanns,Amsterdam [u.a.],XA-NL
1430,990038754420603338,9780811219501,2012,"Janouch, Gustav",eng,ger,Conversations with Kafka,Gespräche mit Kafka,"New York, NY",XD-US
1432,9958779154903338,9781782275978,2020,"Roth, Joseph",eng,ger,<<The>> Coral Merchant,fail,London,XA-GB
1433,990047510970603338,9781581771275,2013,"Celan, Paul",ger,ger,Corona,fail,"Barrytown, NY",XD-US
1434,990047210630603338,9788420685984,2014,"Bernhard, Thomas",spa,ger,Corrección,Korrektur,Madrid,XA-ES
1435,9959017482603338,9789493186804,2023,"Bernhard, Thomas",dut,ger,Correctie,Korrektur,Bleiswijk,XA-NL
1437,9958584372203338,9782366244519,[2019],"Innerhofer, Franz",fre,ger,Côté ombre,Schattseite,Paris,XA-FR
1438,990038043800603338,9782729119171,2011,"Handke, Peter",fre,ger,<<Les>> coucous de Velika Hoča,<<Die>> Kuckucke von Velika Hoča,Paris,XA-FR
1441,9958584580003338,9783899196429,[2019],"Kafka, Franz",eng,ger,<<A>> country doctor,<<Ein>> Landarzt,[Haselbach],XA-DE
1442,9958512652003338,fail,2017-2017,"Musil, Robert",srp,ger,Čovek bez osobina,<<Der>> Mann ohne Eigenschaften,Beograd,XA-RS
1443,9958512651903338,9788652127054,2017,"Musil, Robert",srp,ger,Čovek bez osobina,fail,Beograd,XA-RS
